Frame Index,Time (s),Position (ticks),Velocity (t/s),Current (mA),PWM
143,3.4596015625,1389,997,-1,159
144,3.47008935546875,1408,992,-1,158
145,3.500763427734375,1429,994,-1,159
146,3.511198974609375,1448,998,-1,159
147,3.56257177734375,1488,995,-1,162
148,3.5731318359375,1508,994,-1,162
149,3.603880859375,1529,989,-1,163
150,3.614300537109375,1549,987,-1,165
151,3.665782470703125,1589,990,-1,166
152,3.67636376953125,1608,980,-1,169
153,3.697004638671875,1628,983,-1,171
154,3.717585205078125,1648,986,-1,170
155,3.759471435546875,1687,993,-1,171
156,3.7803701171875,1708,990,-1,173
157,3.801131103515625,1728,997,-1,172
158,3.811799560546875,1747,997,-1,173
159,3.8648720703125,1787,1004,-1,171
160,3.87559326171875,1808,1004,-1,170
161,3.8963056640625,1827,1003,-1,170
162,3.9169013671875,1848,1007,-1,169
163,3.958608642578125,1888,1003,-1,169
164,3.97933642578125,1907,1001,-1,169
165,3.99994287109375,1928,1005,-1,168
166,4.010439208984375,1948,1005,-1,168
167,4.06210498046875,1988,997,-1,169
168,4.072724365234375,2008,997,-1,169
169,4.103621337890625,2029,1004,-1,168
170,4.114152099609375,2049,1005,-1,167
171,4.1658115234375,2089,999,-1,168
172,4.176457275390625,2110,1002,-1,167
173,4.197207275390625,2129,996,-1,166
174,4.217935546875,2150,1004,-1,166
175,4.23870849609375,2169,1007,-1,165
176,4.2594833984375,2190,1011,-1,164
177,4.2802529296875,2211,1002,-1,165
178,4.3008271484375,2231,998,-1,164
179,4.342543212890625,2271,999,-1,165
180,4.353037353515625,2291,996,-1,164
181,4.383850341796875,2311,992,-1,167
182,4.394326171875,2330,990,-1,167
183,4.4360185546875,2370,985,-1,171
184,4.45665625,2390,985,-1,171
185,4.487861328125,2410,992,-1,172
186,4.49858447265625,2429,1001,-1,172
187,4.540845458984375,2470,1005,-1,170
188,4.561714599609375,2491,1007,-1,169
189,4.58278759765625,2510,1012,-1,167
190,4.59375244140625,2531,1018,-1,163
191,4.624840576171875,2552,1018,-1,163
192,4.635514404296875,2572,1013,-1,162
193,4.687603515625,2613,1020,-1,159
194,4.698693359375,2633,1015,-1,157
195,4.7198876953125,2654,1024,-1,155
196,4.7407666015625,2674,1023,-1,153
197,4.783016357421875,2716,1020,-1,150
198,4.79356396484375,2736,1024,-1,147
199,4.82505517578125,2757,1015,-1,147
200,4.83571875,2777,1017,-1,145
